chid,chnm,bound_provenance,n_biofam_tested,n_biofam_active,n_biofam_separated,frac_tested_active,frac_tested_separated,family_loss
32646,N-Ethylperfluorooctane sulfonamide,estimated,39,26,13,0.6666666666666666,0.3333333333333333,13
375114,"Perfluoro-3,6,9-trioxatridecanoic acid",estimated,18,17,11,0.9444444444444444,0.6111111111111112,6
382063,"Perfluoro-3,6-dioxaheptanoic acid",default,16,9,9,0.5625,0.5625,0
108559,Ammonium perfluoro-2-methyl-3-oxahexanoate,estimated,13,8,4,0.6153846153846154,0.3076923076923077,4
38840,(Perfluorohexyl)ethyl acrylate,default,3,2,2,0.6666666666666666,0.6666666666666666,0
21641,Nonanoic acid,default,37,5,5,0.13513513513513514,0.13513513513513514,0
21600,Heptanoic acid,default,36,2,2,0.05555555555555555,0.05555555555555555,0
21645,Octanoic acid,default,37,10,10,0.2702702702702703,0.2702702702702703,0
21554,Decanoic acid,default,36,10,10,0.2777777777777778,0.2777777777777778,0
61954,11-H-Perfluoroundecanoic acid,estimated,19,14,9,0.7368421052631579,0.47368421052631576,5
380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",estimated,16,13,10,0.8125,0.625,3
880144,Ethyl pentafluoropropionyl acetate,default,15,5,5,0.3333333333333333,0.3333333333333333,0
223797,Dichloromethyl((perfluorohexyl)ethyl)silane,default,14,6,6,0.42857142857142855,0.42857142857142855,0
60986,"1H,1H,5H,5H-Perfluoro-1,5-pentanediol diacrylate",estimated,17,17,12,1.0,0.7058823529411765,5
235137,Dimethoxymethyl((perfluorohexyl)ethyl)silane,default,15,1,1,0.06666666666666667,0.06666666666666667,0
379884,"3-(Perfluoro-3-methylbutyl)-1,2-epoxypropane",default,15,2,2,0.13333333333333333,0.13333333333333333,0
224331,"2,2,3,3-Tetrafluoropropyl acrylate",estimated,17,14,8,0.8235294117647058,0.47058823529411764,6
379254,"1H,1H-Heptafluorobutyl epoxide",default,14,5,5,0.35714285714285715,0.35714285714285715,0
59928,Perfluorobutanedioic acid,estimated,15,4,0,0.26666666666666666,0.0,4
