chid,casn,chnm,n_tested,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
29110,78-69-3,"3,7-Dimethyl-3-octanol",643,5,5,3,3,0
27258,625-55-8,Isopropyl formate,644,19,0,5,0,5
22607,120511-73-1,Anastrozole,641,17,17,3,3,0
24821,98-56-6,1-Chloro-4-(trifluoromethyl)benzene,641,4,4,3,3,0
41909,10025-74-8,Dysprosium(III) chloride,379,5,5,2,2,0
26943,115-77-5,Pentaerythritol,959,14,14,7,7,0
26238,75-50-3,Trimethylamine,377,1,1,1,1,0
47127,16587-71-6,4-(tert-Pentyl)-cyclohexanone,380,8,8,2,2,0
27466,2386-87-0,ECC,640,19,4,3,2,1
21847,101-84-8,Diphenyl oxide,755,35,3,9,1,8
30307,626-43-7,"3,5-Dichloroaniline",643,9,9,5,5,0
25796,111-84-2,Nonane,644,5,5,4,4,0
42276,94-71-3,o-Ethoxyphenol,380,12,0,4,0,4
21853,103-76-4,1-Piperazineethanol,640,26,4,4,1,3
27360,1111-78-0,Ammonium carbamate,697,19,19,3,3,0
22113,760-23-6,"3,4-Dichloro-1-butene",751,36,36,10,10,0
29105,70-55-3,4-Toluenesulfonamide,641,7,7,4,4,0
27222,586-62-9,Terpinolene,381,11,11,3,3,0
32688,26002-80-2,Phenothrin,764,61,11,12,6,6
29649,1477-55-0,"1,3-Benzenedimethanamine",640,19,4,4,3,1
29167,137-42-8,Metam-sodium,382,9,9,5,5,0
20616,470-82-6,"1,8-Cineol",906,4,4,3,3,0
21062,930-55-2,N-Nitrosopyrrolidine,646,15,2,4,2,2
38887,2321-07-5,Fluorescein,603,94,1,19,1,18
41675,76-49-3,(±)-Bornyl acetate,455,0,0,0,0,0
25018,101-83-7,Dicyclohexylamine,915,17,17,5,5,0
29146,109-02-4,4-Methylmorpholine,641,4,4,2,2,0
26342,60-12-8,2-Phenylethanol,903,6,6,4,4,0
24553,123-77-3,Azodicarbonamide,640,19,19,5,5,0
48209,938-16-9,tert-Butyl phenyl ketone,377,3,3,2,2,0
27863,25322-69-4,Polypropylene glycol,377,2,2,1,1,0
27414,1563-38-8,"2,3-Dihydro-2,2-dimethyl-7-benzofuranol",754,11,11,7,7,0
21921,110-65-6,"2-Butyne-1,4-diol",642,12,12,6,6,0
42006,26402-26-6,Glyceryl monooctanoate,377,2,2,1,1,0
45191,66357-35-5,Ranitidine,644,12,12,3,3,0
48194,1671-75-6,Heptanophenone,379,11,11,5,5,0
41472,107-54-0,"3,5-Dimethyl-1-hexyn-3-ol",377,0,0,0,0,0
24704,98-51-1,4-tert-Butyltoluene,640,7,7,3,3,0
29761,51580-86-0,Sodium dichloroisocyanurate dihydrate,639,2,2,2,2,0
44394,98-53-3,4-tert-Butylcyclohexanone,377,27,0,6,0,6
27153,460-00-4,1-Bromo-4-fluorobenzene,752,7,7,4,4,0
41421,487-06-9,"5,7-Dimethoxy-2H-chromen-2-one",389,18,18,6,6,0
23875,7773-06-0,Ammonium sulfamate,641,7,7,3,3,0
34229,104-61-0,gamma-Nonanolactone,379,2,2,1,1,0
37494,6190-65-4,Desethylatrazine,392,4,4,4,4,0
21006,684-93-5,N-Nitroso-N-methylurea,382,9,9,4,4,0
34357,103055-07-8,Lufenuron,641,50,2,6,2,4
41962,78-07-9,Ethyltriethoxysilane,376,9,9,4,4,0
27738,12108-13-3,(Methylcyclopentadienyl)tricarbonylmanganese,663,17,17,7,7,0
21897,108-99-6,3-Methylpyridine,748,12,12,2,2,0
29210,1118-46-3,Butyltin trichloride,640,11,11,4,4,0
27500,2807-30-9,2-Propoxyethanol,639,1,1,1,1,0
25291,123-05-7,2-Ethylhexaldehyde,640,4,4,2,2,0
29262,4130-42-1,"2,6-Di-tert-butyl-4-ethylphenol",656,65,9,10,5,5
40285,118-93-4,2-Hydroxyacetophenone,376,0,0,0,0,0
22123,818-61-1,2-Hydroxyethyl acrylate,651,47,4,6,3,3
41293,120-65-0,2-((Dimethylamino)methyl)phenol,376,3,3,2,2,0
26904,112-07-2,2-Butoxyethyl acetate,640,3,3,3,3,0
41641,609-54-1,"2,5-Dimethylbenzenesulfonic acid",376,3,3,3,3,0
26867,111-20-6,Decanedioic acid,642,10,10,3,3,0
27014,123-96-6,2-Octanol,655,8,8,5,5,0
